dataset_name,signal_channel,feature_name,feature_mean,feature_median,feature_p90
wearable_exam_stress,acc_magnitude,window_std,4.478703227991014,3.073177804329847,11.882094525446398
wearable_exam_stress,acc_magnitude,window_range,65.93600546385673,62.30978730772601,144.39598901640127
wearable_exam_stress,acc_magnitude,window_coverage_ratio,0.997591790429043,1.0,1.0
wearable_exam_stress,acc_magnitude,missing_value_ratio,0.0024082095709570955,0.0,0.0
wearable_exam_stress,acc_magnitude,flatline_ratio,0.3210699816974211,0.23814486711829078,0.7610213652944244
wearable_exam_stress,acc_x,window_std,9.541004130751125,7.797485340148718,23.00652607065087
wearable_exam_stress,acc_x,window_range,86.32425742574257,83.0,195.0
wearable_exam_stress,acc_x,window_coverage_ratio,0.997591790429043,1.0,1.0
wearable_exam_stress,acc_x,missing_value_ratio,0.0024082095709570955,0.0,0.0
wearable_exam_stress,acc_x,flatline_ratio,0.5258637948557213,0.47550807712350185,0.9885356956748307
wearable_exam_stress,acc_y,window_std,9.48695596082609,5.5726464189835205,26.4094023807129
wearable_exam_stress,acc_y,window_range,72.2190594059406,63.0,173.70000000000027
wearable_exam_stress,acc_y,window_coverage_ratio,0.997591790429043,1.0,1.0
wearable_exam_stress,acc_y,missing_value_ratio,0.0024082095709570955,0.0,0.0
wearable_exam_stress,acc_y,flatline_ratio,0.6019846875195356,0.5891089108910892,0.9880145909327774
wearable_exam_stress,acc_z,window_std,11.78019938740258,9.216152847950745,28.302253389570197
wearable_exam_stress,acc_z,window_range,85.71782178217822,87.0,186.0
wearable_exam_stress,acc_z,window_coverage_ratio,0.997591790429043,1.0,1.0
wearable_exam_stress,acc_z,missing_value_ratio,0.0024082095709570955,0.0,0.0
wearable_exam_stress,acc_z,flatline_ratio,0.5366679237712233,0.49973944762897343,0.9591974986972382
wearable_exam_stress,bvp,window_std,34.36461640113901,8.639225763620122,114.6693554468323
wearable_exam_stress,bvp,window_range,411.00310231023104,116.565,1284.911
wearable_exam_stress,bvp,window_coverage_ratio,0.9975899640745323,1.0,1.0
wearable_exam_stress,bvp,missing_value_ratio,0.002410035925467547,0.0,0.0
wearable_exam_stress,bvp,flatline_ratio,0.03189799691768076,0.0072935660328210476,0.02005730659025788
wearable_exam_stress,eda,window_std,0.036952593018947585,0.005823075713831619,0.10536711718575663
wearable_exam_stress,eda,window_range,0.1722300915841584,0.032034999999999994,0.4810103000000008
wearable_exam_stress,eda,window_coverage_ratio,0.9975660066006602,1.0,1.0
wearable_exam_stress,eda,missing_value_ratio,0.002433993399339934,0.0,0.0
wearable_exam_stress,eda,flatline_ratio,0.4104827403871063,0.3054393305439331,1.0
wearable_exam_stress,hr,window_std,4.565201685787145,3.60150807631037,9.317469053107587
wearable_exam_stress,hr,window_range,14.822150226991333,12.019999999999996,29.342000000000002
wearable_exam_stress,hr,window_coverage_ratio,0.997214197276104,1.0,1.0
wearable_exam_stress,hr,missing_value_ratio,0.0027858027238959965,0.0,0.0
wearable_exam_stress,hr,flatline_ratio,0.05998086305462557,0.01694915254237288,0.0847457627118644
wearable_exam_stress,temp,window_std,0.07407106980349011,0.022701753137959368,0.10835907921998167
wearable_exam_stress,temp,window_range,0.26993396615765575,0.09999999999999787,0.40000000000000213
wearable_exam_stress,temp,window_coverage_ratio,0.9979501994772321,1.0,1.0
wearable_exam_stress,temp,missing_value_ratio,0.0020498005227679184,0.0,0.0
wearable_exam_stress,temp,flatline_ratio,0.8548929595995611,0.8577405857740585,0.8828451882845189
