dataset_name,subject_id,session_id,session_name,signal_channel,window_count,avg_window_std,avg_window_coverage_ratio,avg_missing_value_ratio,low_coverage_window_count,flatline_window_count,high_motion_window_count,higher_relative_variability_window_count
wearable_exam_stress,S1,1,midterm_1,acc_magnitude,187,4.343829932696284,0.9962733957219251,0.0037266042780748666,1,4,41,41
wearable_exam_stress,S1,1,midterm_1,acc_x,187,8.31357587918488,0.9962733957219251,0.0037266042780748666,1,33,0,33
wearable_exam_stress,S1,1,midterm_1,acc_y,187,8.17313382320323,0.9962733957219251,0.0037266042780748666,1,40,0,26
wearable_exam_stress,S1,1,midterm_1,acc_z,187,13.605113170481495,0.9962733957219251,0.0037266042780748666,1,11,0,55
wearable_exam_stress,S1,1,midterm_1,bvp,187,3.4697958655137047,0.9962775735294118,0.003722426470588235,1,0,0,0
wearable_exam_stress,S1,1,midterm_1,eda,187,0.03403690879607884,0.9962566844919787,0.0037433155080213902,1,0,0,41
wearable_exam_stress,S1,1,midterm_1,hr,187,4.544799192341667,0.9954545454545455,0.004545454545454545,1,0,0,47
wearable_exam_stress,S1,1,midterm_1,temp,187,0.026461581517190195,0.9962566844919787,0.0037433155080213902,1,0,0,19
wearable_exam_stress,S1,2,midterm_2,acc_magnitude,186,4.633243138602451,0.9979166666666667,0.0020833333333333333,1,17,39,39
wearable_exam_stress,S1,2,midterm_2,acc_x,186,11.058119136155854,0.9979166666666667,0.0020833333333333333,1,27,0,50
wearable_exam_stress,S1,2,midterm_2,acc_y,186,9.81237958949345,0.9979166666666667,0.0020833333333333333,1,34,0,44
wearable_exam_stress,S1,2,midterm_2,acc_z,186,13.688401310757003,0.9979166666666667,0.0020833333333333333,1,29,0,61
wearable_exam_stress,S1,2,midterm_2,bvp,186,39.89139631927621,0.9979068660394266,0.0020931339605734767,1,0,0,62
wearable_exam_stress,S1,2,midterm_2,eda,186,0.004848140502817424,0.9978494623655914,0.002150537634408602,1,0,0,3
