dataset_name,subject_id,session_id,session_name,signal_channel,window_count,avg_window_std,avg_window_coverage_ratio,avg_missing_value_ratio,low_coverage_window_count,flatline_window_count,high_motion_window_count,higher_relative_variability_window_count
ludb,1,0,,avf,1,0.06803274063333188,1.0,0.0,0,0,0,0
ludb,1,0,,avl,1,0.09655768662609822,1.0,0.0,0,0,0,0
ludb,1,0,,avr,1,0.10710730771826138,1.0,0.0,0,0,0,0
ludb,1,0,,i,1,0.10682002371377444,1.0,0.0,0,0,0,1
ludb,1,0,,ii,1,0.09586601288030189,1.0,0.0,0,0,0,1
ludb,1,0,,iii,1,0.07246485107692162,1.0,0.0,0,0,0,0
ludb,1,0,,v1,1,0.1012903450088575,1.0,0.0,0,0,0,0
ludb,1,0,,v2,1,0.12770264081297533,1.0,0.0,0,0,0,0
ludb,1,0,,v3,1,0.1061897747741104,1.0,0.0,0,0,0,0
ludb,1,0,,v4,1,0.09517372903611587,1.0,0.0,0,0,0,0
ludb,1,0,,v5,1,0.09958854106303057,1.0,0.0,0,0,0,0
ludb,1,0,,v6,1,0.10356129284211651,1.0,0.0,0,0,0,0
ludb,2,0,,avf,1,0.07869569643604599,1.0,0.0,0,0,0,0
ludb,2,0,,avl,1,0.10162665868152995,1.0,0.0,0,0,0,0
ludb,2,0,,avr,1,0.09145113069432223,1.0,0.0,0,0,0,0
ludb,2,0,,i,1,0.09127827095358307,1.0,0.0,0,0,0,0
ludb,2,0,,ii,1,0.08422211249290043,1.0,0.0,0,0,0,0
ludb,2,0,,iii,1,0.07878011871548349,1.0,0.0,0,0,0,0
ludb,2,0,,v1,1,0.09931189021214754,1.0,0.0,0,0,0,0
ludb,2,0,,v2,1,0.13427738400221104,1.0,0.0,0,0,0,0
ludb,2,0,,v3,1,0.10757091924362751,1.0,0.0,0,0,0,0
ludb,2,0,,v4,1,0.0903949950635374,1.0,0.0,0,0,0,0
ludb,2,0,,v5,1,0.10401554839269885,1.0,0.0,0,0,0,0
ludb,2,0,,v6,1,0.10949146201356674,1.0,0.0,0,0,0,0
ludb,3,0,,avf,1,0.13408194793787692,1.0,0.0,0,0,0,1
ludb,3,0,,avl,1,0.10526776243092777,1.0,0.0,0,0,0,1
ludb,3,0,,avr,1,0.15210952215907894,1.0,0.0,0,0,0,1
ludb,3,0,,i,1,0.10600494472516112,1.0,0.0,0,0,0,0
ludb,3,0,,ii,1,0.14313597700697533,1.0,0.0,0,0,0,1
ludb,3,0,,iii,1,0.12621606643129923,1.0,0.0,0,0,0,1
ludb,3,0,,v1,1,0.14830273133534916,1.0,0.0,0,0,0,1
ludb,3,0,,v2,1,0.1387301652231965,1.0,0.0,0,0,0,1
ludb,3,0,,v3,1,0.1285051671889371,1.0,0.0,0,0,0,1
ludb,3,0,,v4,1,0.1153874148501321,1.0,0.0,0,0,0,1
ludb,3,0,,v5,1,0.1335317767537693,1.0,0.0,0,0,0,1
ludb,3,0,,v6,1,0.14109465649886163,1.0,0.0,0,0,0,1
ludb,4,0,,avf,1,0.10854117996096829,1.0,0.0,0,0,0,1
ludb,4,0,,avl,1,0.13239458311455135,1.0,0.0,0,0,0,1
ludb,4,0,,avr,1,0.10836704932643779,1.0,0.0,0,0,0,1
ludb,4,0,,i,1,0.14142144669923087,1.0,0.0,0,0,0,1
ludb,4,0,,ii,1,0.08747144131522475,1.0,0.0,0,0,0,0
ludb,4,0,,iii,1,0.12192977165715188,1.0,0.0,0,0,0,1
ludb,4,0,,v1,1,0.11462048942813954,1.0,0.0,0,0,0,0
ludb,4,0,,v2,1,0.13948234470451998,1.0,0.0,0,0,0,1
ludb,4,0,,v3,1,0.14402100697603568,1.0,0.0,0,0,0,1
ludb,4,0,,v4,1,0.12472816355630913,1.0,0.0,0,0,0,1
ludb,4,0,,v5,1,0.12008290693877453,1.0,0.0,0,0,0,1
ludb,4,0,,v6,1,0.10187532573630331,1.0,0.0,0,0,0,0
ludb,5,0,,avf,1,0.08273009011379501,1.0,0.0,0,0,0,0
ludb,5,0,,avl,1,0.10138818653879006,1.0,0.0,0,0,0,0
ludb,5,0,,avr,1,0.09379148400908664,1.0,0.0,0,0,0,0
ludb,5,0,,i,1,0.10254844491886503,1.0,0.0,0,0,0,0
ludb,5,0,,ii,1,0.08605796530320846,1.0,0.0,0,0,0,0
ludb,5,0,,iii,1,0.07532722995527519,1.0,0.0,0,0,0,0
ludb,5,0,,v1,1,0.11923947558316852,1.0,0.0,0,0,0,1
ludb,5,0,,v2,1,0.11169993353674926,1.0,0.0,0,0,0,0
ludb,5,0,,v3,1,0.10601828141809344,1.0,0.0,0,0,0,0
ludb,5,0,,v4,1,0.09329754398329379,1.0,0.0,0,0,0,0
ludb,5,0,,v5,1,0.09208045039759293,1.0,0.0,0,0,0,0
ludb,5,0,,v6,1,0.12299838065955082,1.0,0.0,0,0,0,1
