dataset_name,window_id,record_id,subject_id,session_id,session_name,signal_channel,window_start_ts_utc,window_end_ts_utc,window_seconds,expected_sample_count,sample_count,window_coverage_ratio,missing_value_ratio,flatline_ratio,window_mean,window_std,window_min,window_max,window_iqr,window_mad,window_range,is_low_coverage_window,is_flatline_like_window,is_high_motion_window,is_higher_relative_variability_window
ludb,1_0,1,1,0,,i,1970-01-01 00:00:00+00:00,1970-01-01 00:00:10+00:00,10,5000,5000,1.0,0.0,0.2566513302660532,0.00038904428904428884,0.10682002371377444,-0.10955710955710955,0.8904428904428905,0.02156177156177156,0.011072261072261072,1.0,False,False,False,True
ludb,2_0,2,1,0,,ii,1970-01-01 00:00:00+00:00,1970-01-01 00:00:10+00:00,10,5000,5000,1.0,0.0,0.38967793558711744,0.00039834162520729693,0.09586601288030189,-0.13598673300165837,0.8640132669983416,0.03150912106135987,0.01658374792703151,1.0,False,False,False,True
ludb,3_0,3,1,0,,iii,1970-01-01 00:00:00+00:00,1970-01-01 00:00:10+00:00,10,5000,5000,1.0,0.0,0.39887977595519103,0.0006613506916192028,0.07246485107692162,-0.7786818551668023,0.22131814483319773,0.01790073230268511,0.008136696501220505,1.0,False,False,False,False
ludb,4_0,4,1,0,,avr,1970-01-01 00:00:00+00:00,1970-01-01 00:00:10+00:00,10,5000,5000,1.0,0.0,0.2340468093618724,0.0002257309941520462,0.10710730771826138,-0.8866959064327485,0.11330409356725146,0.025584795321637425,0.013157894736842105,1.0,False,False,False,False
ludb,5_0,5,1,0,,avl,1970-01-01 00:00:00+00:00,1970-01-01 00:00:10+00:00,10,5000,5000,1.0,0.0,0.23304660932186438,0.0002456140350877202,0.09655768662609822,-0.11476608187134503,0.8852339181286549,0.019005847953216373,0.009502923976608187,1.0,False,False,False,False
ludb,6_0,6,1,0,,avf,1970-01-01 00:00:00+00:00,1970-01-01 00:00:10+00:00,10,5000,5000,1.0,0.0,0.26785357071414284,2.0057306590257906e-05,0.06803274063333188,-0.3681948424068768,0.6318051575931232,0.03581661891117478,0.017191977077363897,1.0,False,False,False,False
ludb,7_0,7,1,0,,v1,1970-01-01 00:00:00+00:00,1970-01-01 00:00:10+00:00,10,5000,5000,1.0,0.0,0.4920984196839368,0.000567784256559767,0.1012903450088575,-0.8046647230320699,0.19533527696793002,0.04518950437317784,0.014577259475218658,1.0,False,False,False,False
ludb,8_0,8,1,0,,v2,1970-01-01 00:00:00+00:00,1970-01-01 00:00:10+00:00,10,5000,5000,1.0,0.0,0.31926385277055414,7.175572519084006e-05,0.12770264081297533,-0.39567430025445294,0.6043256997455471,0.04325699745547074,0.01590330788804071,1.0,False,False,False,False
ludb,9_0,9,1,0,,v3,1970-01-01 00:00:00+00:00,1970-01-01 00:00:10+00:00,10,5000,5000,1.0,0.0,0.3348669733946789,3.54138999557331e-05,0.1061897747741104,-0.2456839309428951,0.7543160690571049,0.02788844621513944,0.011066843736166444,1.0,False,False,False,False
ludb,10_0,10,1,0,,v4,1970-01-01 00:00:00+00:00,1970-01-01 00:00:10+00:00,10,5000,5000,1.0,0.0,0.41988397679535905,3.9274924471298854e-05,0.09517372903611587,-0.19896417781614156,0.8010358221838585,0.02891670263271472,0.012516184721622787,1.0,False,False,False,False
