dataset_name,window_id,record_id,subject_id,session_id,session_name,signal_channel,window_start_ts_utc,window_end_ts_utc,window_seconds,expected_sample_count,sample_count,window_coverage_ratio,missing_value_ratio,flatline_ratio,window_mean,window_std,window_min,window_max,window_iqr,window_mad,window_range
mitdb,1_0,1,100,0,,mlii,1970-01-01 00:00:00+00:00,1970-01-01 00:00:30+00:00,30,10800,10800,1.0,0.0,0.1629780535234744,-0.3353662037037037,0.17370482360466413,-0.68,1.05,0.09500000000000003,0.04500000000000004,1.73
mitdb,1_1,1,100,0,,mlii,1970-01-01 00:00:30+00:00,1970-01-01 00:01:00+00:00,30,10800,10800,1.0,0.0,0.16288545235669968,-0.3373296296296296,0.1775165872941545,-0.695,1.05,0.11499999999999999,0.05499999999999999,1.745
mitdb,1_2,1,100,0,,mlii,1970-01-01 00:01:00+00:00,1970-01-01 00:01:30+00:00,30,10800,10800,1.0,0.0,0.16658949902768774,-0.308387962962963,0.17505794800377122,-0.67,1.12,0.09499999999999997,0.04999999999999999,1.79
mitdb,1_3,1,100,0,,mlii,1970-01-01 00:01:30+00:00,1970-01-01 00:02:00+00:00,30,10800,10800,1.0,0.0,0.16427446985832023,-0.32506157407407404,0.1772343202220834,-0.65,1.125,0.09500000000000003,0.04999999999999999,1.775
mitdb,1_4,1,100,0,,mlii,1970-01-01 00:02:00+00:00,1970-01-01 00:02:30+00:00,30,10800,10800,1.0,0.0,0.16075562552088157,-0.3365814814814815,0.17192442792445,-0.675,0.98,0.09999999999999998,0.04999999999999999,1.655
mitdb,1_5,1,100,0,,mlii,1970-01-01 00:02:30+00:00,1970-01-01 00:03:00+00:00,30,10800,10800,1.0,0.0,0.1629780535234744,-0.30151666666666666,0.17118391153299958,-0.655,1.015,0.09499999999999997,0.044999999999999984,1.67
mitdb,1_6,1,100,0,,mlii,1970-01-01 00:03:00+00:00,1970-01-01 00:03:30+00:00,30,10800,10800,1.0,0.0,0.1691823316973794,-0.3161648148148148,0.1705998135463167,-0.65,1.08,0.09500000000000003,0.04500000000000004,1.73
mitdb,1_7,1,100,0,,mlii,1970-01-01 00:03:30+00:00,1970-01-01 00:04:00+00:00,30,10800,10800,1.0,0.0,0.16881192703028058,-0.36050648148148146,0.1742009204771658,-0.695,0.965,0.10499999999999998,0.04999999999999999,1.66
mitdb,1_8,1,100,0,,mlii,1970-01-01 00:04:00+00:00,1970-01-01 00:04:30+00:00,30,10800,10800,1.0,0.0,0.1632558570237985,-0.28175185185185186,0.17757520261785642,-0.655,1.245,0.11499999999999999,0.06,1.9000000000000001
mitdb,1_9,1,100,0,,mlii,1970-01-01 00:04:30+00:00,1970-01-01 00:05:00+00:00,30,10800,10800,1.0,0.0,0.16427446985832023,-0.3075875,0.17404838092584388,-0.64,1.205,0.10499999999999998,0.04999999999999999,1.8450000000000002
mitdb,1_10,1,100,0,,mlii,1970-01-01 00:05:00+00:00,1970-01-01 00:05:30+00:00,30,10800,10800,1.0,0.0,0.1511251041763126,-0.28361157407407406,0.1762620822953221,-0.62,1.3,0.10499999999999998,0.04999999999999999,1.92
mitdb,1_11,1,100,0,,mlii,1970-01-01 00:05:30+00:00,1970-01-01 00:06:00+00:00,30,10800,10800,1.0,0.0,0.15853319751828873,-0.3222365740740741,0.17486021577256455,-0.775,0.995,0.11000000000000004,0.05500000000000005,1.77
mitdb,1_12,1,100,0,,mlii,1970-01-01 00:06:00+00:00,1970-01-01 00:06:30+00:00,30,10800,10800,1.0,0.0,0.15881100101861284,-0.30112824074074074,0.1806130374626093,-0.635,1.155,0.125,0.06,1.79
mitdb,1_13,1,100,0,,mlii,1970-01-01 00:06:30+00:00,1970-01-01 00:07:00+00:00,30,10800,10800,1.0,0.0,0.1622372441892768,-0.2960375,0.1808793380158645,-0.64,1.025,0.13,0.065,1.665
mitdb,1_14,1,100,0,,mlii,1970-01-01 00:07:00+00:00,1970-01-01 00:07:30+00:00,30,10800,10800,1.0,0.0,0.15510695434762478,-0.3244777777777778,0.189705069017936,-0.65,1.09,0.12000000000000005,0.06,1.7400000000000002
mitdb,1_15,1,100,0,,mlii,1970-01-01 00:07:30+00:00,1970-01-01 00:08:00+00:00,30,10800,10800,1.0,0.0,0.1576071858505417,-0.3228518518518519,0.18134142590084315,-0.675,1.03,0.12000000000000005,0.06,1.705
mitdb,1_16,1,100,0,,mlii,1970-01-01 00:08:00+00:00,1970-01-01 00:08:30+00:00,30,10800,10800,1.0,0.0,0.155662561348273,-0.30690694444444444,0.1861098810159128,-0.645,1.175,0.10999999999999999,0.05499999999999999,1.82
mitdb,1_17,1,100,0,,mlii,1970-01-01 00:08:30+00:00,1970-01-01 00:09:00+00:00,30,10800,10800,1.0,0.0,0.16390406519122142,-0.29566944444444443,0.17675267859724736,-0.67,1.125,0.11499999999999999,0.06,1.795
mitdb,1_18,1,100,0,,mlii,1970-01-01 00:09:00+00:00,1970-01-01 00:09:30+00:00,30,10800,10800,1.0,0.0,0.15177331234373553,-0.3319564814814815,0.19452249192673152,-0.675,1.14,0.13,0.065,1.815
mitdb,1_19,1,100,0,,mlii,1970-01-01 00:09:30+00:00,1970-01-01 00:10:00+00:00,30,10800,10800,1.0,0.0,0.1576071858505417,-0.33344259259259257,0.1731469976772603,-0.69,1.03,0.11499999999999999,0.05499999999999999,1.72
mitdb,1_20,1,100,0,,mlii,1970-01-01 00:10:00+00:00,1970-01-01 00:10:30+00:00,30,10800,10800,1.0,0.0,0.15927400685248636,-0.30667685185185184,0.18109540092663287,-0.65,1.095,0.11499999999999999,0.06,1.745
mitdb,1_21,1,100,0,,mlii,1970-01-01 00:10:30+00:00,1970-01-01 00:11:00+00:00,30,10800,10800,1.0,0.0,0.15445874618020186,-0.3131087962962963,0.1763089754283366,-0.67,1.09,0.10999999999999999,0.05499999999999999,1.7600000000000002
mitdb,1_22,1,100,0,,mlii,1970-01-01 00:11:00+00:00,1970-01-01 00:11:30+00:00,30,10800,10800,1.0,0.0,0.15807019168441522,-0.27640324074074074,0.1924912484223476,-0.615,1.31,0.11499999999999999,0.06,1.925
mitdb,1_23,1,100,0,,mlii,1970-01-01 00:11:30+00:00,1970-01-01 00:12:00+00:00,30,10800,10800,1.0,0.0,0.16094082785443098,-0.3371648148148148,0.18681308388579296,-0.66,1.14,0.11499999999999999,0.06,1.7999999999999998
mitdb,1_24,1,100,0,,mlii,1970-01-01 00:12:00+00:00,1970-01-01 00:12:30+00:00,30,10800,10800,1.0,0.0,0.16529308269284193,-0.29691574074074073,0.1853186210975568,-0.655,1.095,0.11499999999999999,0.06,1.75
mitdb,1_25,1,100,0,,mlii,1970-01-01 00:12:30+00:00,1970-01-01 00:13:00+00:00,30,10800,10800,1.0,0.0,0.16288545235669968,-0.29379305555555557,0.18449175171907295,-0.63,1.23,0.11499999999999999,0.05499999999999999,1.8599999999999999
mitdb,1_26,1,100,0,,mlii,1970-01-01 00:13:00+00:00,1970-01-01 00:13:30+00:00,30,10800,10800,1.0,0.0,0.15945920918603573,-0.2610375,0.20213880908888765,-0.58,1.27,0.11499999999999999,0.05999999999999997,1.85
mitdb,1_27,1,100,0,,mlii,1970-01-01 00:13:30+00:00,1970-01-01 00:14:00+00:00,30,10800,10800,1.0,0.0,0.16621909436058893,-0.2929013888888889,0.19568958184754648,-0.61,1.255,0.125,0.06,1.8649999999999998
mitdb,1_28,1,100,0,,mlii,1970-01-01 00:14:00+00:00,1970-01-01 00:14:30+00:00,30,10800,10800,1.0,0.0,0.1554773590147236,-0.3188953703703704,0.19630745405392205,-0.685,1.195,0.125,0.06000000000000005,1.8800000000000001
mitdb,1_29,1,100,0,,mlii,1970-01-01 00:14:30+00:00,1970-01-01 00:15:00+00:00,30,10800,10800,1.0,0.0,0.1638114640244467,-0.2983328703703704,0.18640646688976656,-0.625,1.225,0.11499999999999999,0.05499999999999999,1.85
mitdb,1_30,1,100,0,,mlii,1970-01-01 00:15:00+00:00,1970-01-01 00:15:30+00:00,30,10800,10800,1.0,0.0,0.16436707102509493,-0.29822916666666666,0.19208203863677098,-0.61,1.22,0.10999999999999999,0.05499999999999999,1.83
mitdb,1_31,1,100,0,,mlii,1970-01-01 00:15:30+00:00,1970-01-01 00:16:00+00:00,30,10800,10800,1.0,0.0,0.15436614501342716,-0.32829305555555555,0.19845277472164186,-0.66,1.25,0.13,0.065,1.9100000000000001
mitdb,1_32,1,100,0,,mlii,1970-01-01 00:16:00+00:00,1970-01-01 00:16:30+00:00,30,10800,10800,1.0,0.0,0.16140383368830447,-0.3285064814814815,0.1927115113306473,-0.675,1.175,0.12,0.06,1.85
mitdb,1_33,1,100,0,,mlii,1970-01-01 00:16:30+00:00,1970-01-01 00:17:00+00:00,30,10800,10800,1.0,0.0,0.15436614501342716,-0.2785574074074074,0.2001451978744154,-0.635,1.305,0.12,0.06,1.94
mitdb,1_34,1,100,0,,mlii,1970-01-01 00:17:00+00:00,1970-01-01 00:17:30+00:00,30,10800,10800,1.0,0.0,0.16047782202055746,-0.2750324074074074,0.1985020854763448,-0.59,1.315,0.11499999999999999,0.06,1.9049999999999998
