dataset_name,signal_channel,feature_name,feature_mean,feature_median,feature_p90
mitdb,mlii,window_std,0.25351664951051994,0.238465147100639,0.32154970979292824
mitdb,mlii,window_range,2.364972677595628,2.28,2.789
mitdb,mlii,window_coverage_ratio,0.9866423800850032,1.0,1.0
mitdb,mlii,missing_value_ratio,0.013357619914996963,0.0,0.0
mitdb,mlii,flatline_ratio,0.15007687477418613,0.15186591351051024,0.16373738309102695
mitdb,v1,window_std,0.04290247263801217,0.04057855214937179,0.053161684863026054
mitdb,v1,window_range,0.33286885245901643,0.28500000000000003,0.42000000000000004
mitdb,v1,window_coverage_ratio,0.986642380085003,1.0,1.0
mitdb,v1,missing_value_ratio,0.013357619914996963,0.0,0.0
mitdb,v1,flatline_ratio,0.17106497806611293,0.17325678303546624,0.17797944254097603
mitdb,v2,window_std,0.5889360819386085,0.2353498761779582,1.1926531881592262
mitdb,v2,window_range,3.486612021857923,2.3,5.469
mitdb,v2,window_coverage_ratio,0.9866423800850032,1.0,1.0
mitdb,v2,missing_value_ratio,0.013357619914996963,0.0,0.0
mitdb,v2,flatline_ratio,0.12430695680718783,0.13843874432817854,0.1520325956107047
mitdb,v5,window_std,0.19218254894301887,0.18934014190948711,0.25005253814266537
mitdb,v5,window_range,1.980273224043716,1.725,2.7820000000000005
mitdb,v5,window_coverage_ratio,0.9866423800850032,1.0,1.0
mitdb,v5,missing_value_ratio,0.013357619914996963,0.0,0.0
mitdb,v5,flatline_ratio,0.1483992838811714,0.15177331234373553,0.15853319751828873
