dataset_name,subject_id,session_id,session_name,signal_channel,window_count,avg_window_std,avg_window_coverage_ratio,avg_missing_value_ratio,low_coverage_window_count,flatline_window_count,high_motion_window_count,higher_relative_variability_window_count
mitdb,100,0,,mlii,61,0.191829511874403,0.986642380085003,0.013357619914996963,1,0,0,0
mitdb,100,0,,v5,61,0.14090017021131648,0.986642380085003,0.013357619914996963,1,0,0,1
mitdb,101,0,,mlii,61,0.25302770530727553,0.986642380085003,0.013357619914996963,1,0,0,4
mitdb,101,0,,v1,61,0.04290247263801217,0.986642380085003,0.013357619914996963,1,0,0,16
mitdb,102,0,,v2,61,1.1331228237212791,0.986642380085003,0.013357619914996963,1,0,0,40
mitdb,102,0,,v5,61,0.1890835249979701,0.986642380085003,0.013357619914996963,1,0,0,0
mitdb,103,0,,mlii,61,0.31569273134988135,0.986642380085003,0.013357619914996963,1,0,0,42
mitdb,103,0,,v2,61,0.43584899254382,0.986642380085003,0.013357619914996963,1,0,0,6
mitdb,104,0,,v2,61,0.1978364295507263,0.986642380085003,0.013357619914996963,1,0,0,0
mitdb,104,0,,v5,61,0.24656395161976996,0.986642380085003,0.013357619914996963,1,0,0,45
