dataset_name,source_url,file_name,subject_id,session_name,record_group_id,record_id,file_type,file_role,selection_group,discovered_at_utc,content_sha256,content_length_bytes,selected_for_download,download_path,is_within_limit
mitdb,https://physionet.org/files/mitdb/1.0.0/100.dat,100.dat,100,,100,100,dat,waveform,100,2026-04-14T19:53:26.887519+00:00,b2ea3c250e56e48f4b7b90697832b8ecd1afa1e0bb31f2dcfea4ed6e1075a639,1950000,True,data/raw/mitdb/100.dat,True
mitdb,https://physionet.org/files/mitdb/1.0.0/100.hea,100.hea,100,,100,100,hea,waveform,100,2026-04-14T19:53:26.887519+00:00,60ebc904c7bf3e04d142638d3fd5c903e8dc9f10f1ea3264e07926aa089ee75e,143,True,data/raw/mitdb/100.hea,True
mitdb,https://physionet.org/files/mitdb/1.0.0/100.atr,100.atr,100,,100,100,atr,annotation,100,2026-04-14T19:53:26.887519+00:00,8d8a5349fb16638ebbf649f1779d12e96d91b736b2aafe59db43719ae583d471,4558,True,data/raw/mitdb/100.atr,True
mitdb,https://physionet.org/files/mitdb/1.0.0/101.dat,101.dat,101,,101,101,dat,waveform,101,2026-04-14T19:53:26.887519+00:00,698d1ea6f472d23ca50317c72c96cda2698badd8578220ed0380cdf241e39006,1950000,True,data/raw/mitdb/101.dat,True
mitdb,https://physionet.org/files/mitdb/1.0.0/101.hea,101.hea,101,,101,101,hea,waveform,101,2026-04-14T19:53:26.887519+00:00,d5f02fbe8673fa05465442191b98ca0d28a1670e7ef0e83fb9ef8723113a311c,131,True,data/raw/mitdb/101.hea,True
mitdb,https://physionet.org/files/mitdb/1.0.0/101.atr,101.atr,101,,101,101,atr,annotation,101,2026-04-14T19:53:26.887519+00:00,441cdd6486cfdf4c53e344d1048ab81296773e7058d53069022adc68543a0663,3768,True,data/raw/mitdb/101.atr,True
mitdb,https://physionet.org/files/mitdb/1.0.0/102.dat,102.dat,102,,102,102,dat,waveform,102,2026-04-14T19:53:26.887519+00:00,2b56039f9ece83b53511e0fc24e95f23b90712c8017fe4d915e040e78713c38e,1950000,True,data/raw/mitdb/102.dat,True
mitdb,https://physionet.org/files/mitdb/1.0.0/102.hea,102.hea,102,,102,102,hea,waveform,102,2026-04-14T19:53:26.887519+00:00,a22f09934ee1cfe339d1502f68eb3f0175815f47273b81ea55f75aeb5584cb0d,204,True,data/raw/mitdb/102.hea,True
mitdb,https://physionet.org/files/mitdb/1.0.0/102.atr,102.atr,102,,102,102,atr,annotation,102,2026-04-14T19:53:26.887519+00:00,24e29031c081806ff6d4ec20fb386e28d8f885f0dca5f74dc29c881e8b196d09,4424,True,data/raw/mitdb/102.atr,True
mitdb,https://physionet.org/files/mitdb/1.0.0/103.dat,103.dat,103,,103,103,dat,waveform,103,2026-04-14T19:53:26.887519+00:00,f7994f0bd196730779998b4bddf26cb47f396599fb370a08b5cb29a3ac4d555d,1950000,True,data/raw/mitdb/103.dat,True
mitdb,https://physionet.org/files/mitdb/1.0.0/103.hea,103.hea,103,,103,103,hea,waveform,103,2026-04-14T19:53:26.887519+00:00,3da9706fc27cc5d627a31b04b74b908ac0b6e061843a87cbd57801e5ea0fed7b,142,True,data/raw/mitdb/103.hea,True
mitdb,https://physionet.org/files/mitdb/1.0.0/103.atr,103.atr,103,,103,103,atr,annotation,103,2026-04-14T19:53:26.887519+00:00,392ce37fbc7e89b3f14998e197a844f23cce6a3db6edaa71b4b49bf3ca5b6596,4196,True,data/raw/mitdb/103.atr,True
mitdb,https://physionet.org/files/mitdb/1.0.0/104.dat,104.dat,104,,104,104,dat,waveform,104,2026-04-14T19:53:26.887519+00:00,aeb19bd805996167c6edd8f1b1a659486c0cbad101f06f1426548784d9634354,1950000,True,data/raw/mitdb/104.dat,True
mitdb,https://physionet.org/files/mitdb/1.0.0/104.hea,104.hea,104,,104,104,hea,waveform,104,2026-04-14T19:53:26.887519+00:00,46b5d09e2cae7caaf48f61fc7d0f20962035cf057cf675097fc7d64c4796748f,378,True,data/raw/mitdb/104.hea,True
mitdb,https://physionet.org/files/mitdb/1.0.0/104.atr,104.atr,104,,104,104,atr,annotation,104,2026-04-14T19:53:26.887519+00:00,4f945bef6a4e30b588d7ebdb0763f5294322aa5632b4bb128ee140c7035463c9,4948,True,data/raw/mitdb/104.atr,True
